Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,Location,Postal Code
Hamilton Terrace,1250000,Flat / Apartment,1036,2,2,St. John's Wood,NW8 9UJ
St. Johns Road,1895000,House,2564,5,5,Richmond,TW9 2PE
James House,600000,Flat / Apartment,632,2,2,70 Webb's Road,SW11 6SE
Bolingbroke Grove,2450000,House,3020,6,6,Clapham,SW11 6ES
Eagle Wharf Road,895000,New development,1033,3,3,Islington,N1 7EG
Youngs Court,1000000,Flat / Apartment,884,1,1, Hampstead,NW3 1DD
Moore Park Road,2300000,House,2124,4,4,Fulham,SW6 2HH
Montpellier Road,375000,Flat / Apartment,444,1,1,Ealing,W5 2QS
Esher Place Avenue,2150000,House,3177,5,5,Esher,KT10 8PY
Common Road,785000,New development,1474,3,3, Esher,KT10 0HG
Sheen Road,2850000,House,5130,7,7,Richmond,TW10 5AL
Birds Hill Drive,5950000,New development,11716,6,6,Oxshott,KT22 0SW
Ashley Gardens,985000,Flat / Apartment,1140,2,2,Thirleby Road,SW1P 1HN
Herndon Road,995000,House,1993,5,5,Wandsworth,SW18 2DG
Claremont Court,550000,Flat / Apartment,666,2,2, Shoreditch,E2 6DE
Eaton Square,7300000,Flat / Apartment,2230,3,3,Belgravia,SW1W 9DH
Elsworthy Terrace,1250000,Flat / Apartment,885,2,2,Primrose Hill,NW3 3DR
Radnor Mews,3750000,House,2396,4,4,Hyde Park Estate,W2 2SA
Thornton Place,430000,Studio,514,1,1,Clapham Common North Side,SW4 0AB
Thornton Place,830000,Flat / Apartment,891,2,2,Clapham Common North Side,SW4 0AB
Pearson Square,1100000,Flat / Apartment,635,1,1,Fitzrovia,W1T 3BJ
John Adam Street,3100000,New development,1410,3,3,Covent Garden,WC2N 6LU
Pyrland Road,2650000,House,3319,6,6,Highbury,N5 2JA
Elwood House,450000,Flat / Apartment,569,2,2,Hurlock Street,N5 1EU
Dalston Square,650000,Flat / Apartment,720,2,2,Hackney,E8 3GT
Lyncroft Mansions,799950,Flat / Apartment,956,2,2, West Hampstead,NW6 1JY
Chelsea Vista,1250000,Penthouse,1209,2,2, Fulham,SW6 2SD
Ashburnham Park,2995000,House,5614,6,6,Esher,KT10 9TW
Claremont Drive,2250000,House,3661,4,4,Esher,KT10 9LU
Sandown Road,2995000,House,7087,7,7,Esher,KT10 9TT
Pavilion Park,1100000,New development,1629,3,3, East Molesey,KT8 9DX
Berwyn Road,3350000,House,3770,6,6,Richmond,TW10 5BP
St John Street,775000,Flat / Apartment,810,1,1,Clerkenwell,EC1V 4LD
Meon Road,800000,House,1080,3,3,Acton,W3 8AN
Beverley Close,1850000,House,1735,4,4,Barnes,SW13 0EH
Cambridge Road,1500000,House,1108,3,3,Barnes,SW13 0PG
Fladgate House,750000,Flat / Apartment,686,1,1, Battersea,SW11 8EU
York Mansions,1985000,Flat / Apartment,1492,3,3, Battersea,SW11 4BW
Hamilton Terrace,1100000,Flat / Apartment,1125,2,2,St. John's Wood,NW8 9UJ
Seward Street,650000,Flat / Apartment,674,2,2,Clerkenwell,EC1V 3PA
Bloomfield Terrace,4500000,House,2145,3,3,Belgravia,SW1W 8PG
Westbourne Park Road,4750000,New development,2552,4,4,Notting Hill,W2 5PH
Scotland Road,995000,House,1706,5,5,Buckhurst Hill,IG9 5NP
Hampstead Lane,2150000,House,2172,3,3,Highgate,N6 4RT
Corfton Road,695000,Flat / Apartment,964,2,2,Ealing,W5 2HT
Teal Court,1100000,Flat / Apartment,816,2,2,Star Place,E1W 1AB
HKR,649999,New development,569,1,1,211-227 Hackney Road,E2 8NA
St. Albans Avenue,1500000,House,1868,5,5,Chiswick,W4 5JR
The Lindens,725000,House,960,3,3,Hartington Road,W4 3UQ
Wetherell Road,400000,Flat / Apartment,491,1,1,South Hackney,E9 7DS
Wieland Road,1395000,House,2141,4,4,Northwood,HA6 3RD
Ravenswood Park,799950,House,1519,4,4,Northwood,HA6 3PS
Grove Lane,975000,Bungalow,2169,3,3,Chigwell,IG7 6JD
Cadogan Place,4750000,House,2157,4,4,Belgravia,SW1X 9RP
Offord Road,925000,Flat / Apartment,931,2,2,Islington,N1 1EA
Linver Road,1800000,House,1776,5,5,Fulham,SW6 3RB
Perrymead Street,2950000,House,3144,6,6,Fulham,SW6 3SW
Doulton House,795000,New development,825,2,2, Fulham,SW6 2FS
Regal House,795000,Flat / Apartment,798,2,2, Imperial Wharf,SW6 2GZ
Fitzroy House,499999,Flat / Apartment,452,1,1, Longfield Avenue,W5 2QY
Herne Road,1450000,House,2523,4,4,Surbiton,KT6 5BX
Cleveley Court,398000,New development,461,1,1,Ashton Reach,SE16 7EP
Thorne Street,1150000,House,1259,3,3,Barnes,SW13 0PT
Seward Street,655000,Flat / Apartment,703,2,2,Clerkenwell,EC1V 3PA
Hamond Square,375000,Flat / Apartment,482,1,1,Hoxton,N1 5JQ
Oppidans Road,2395000,House,2221,4,4,Primrose Hill,NW3 3AG
Cleveland Street,1750000,Flat / Apartment,2203,3,3,Fitzrovia,W1T 6NG
Grange Road,2100000,House,2137,5,5,Barnes,SW13 9RE
Latchmere Road,775000,House,1414,4,4,Battersea,SW11 2DT
Killarney Road,1575000,House,2379,5,5,Wandsworth,SW18 2DX
Grove House,650000,Flat / Apartment,1091,3,3,27 Frampton Park Road,E9 7PQ
Holland Park Villas,8750000,New development,2755,3,3,6 Campden Hill,W8 7AD
Portland Terrace,775000,Flat / Apartment,705,2,2, Richmond,TW9 1QQ
Eastbury Road,975000,House,1200,3,3,Northwood,HA6 3AJ
Hidcote Apartments,699999,New development,878,2,2,5 Danvers Avenue,SW11 1AN
Palewell Park,1750000,House,2540,5,5,East Sheen,SW14 8JQ
Burnaby Crescent,1380000,House,1737,5,5,Chiswick,W4 3LH
Chatsworth Place,1595000,House,3069,5,5,Oxshott,KT22 0SS
Castelnau,5500000,House,4666,7,7,Barnes,SW13 9EL
Denmark Avenue,3050000,House,3717,5,5,Wimbledon,SW19 4HF
Thornton Hill,2350000,House,3594,5,5,Wimbledon,SW19 4HU
Abernethy House,1600000,New development,1018,2,2,Barts Square,EC1A 7BD
Egerton Place,5250000,Flat / Apartment,2026,3,3,Knightsbridge,SW3 2EF
Lowndes Square,3375000,Flat / Apartment,913,2,2,Knightsbridge,SW1X 9HD
Lancaster Close,1700000,Flat / Apartment,1138,3,3,13-15 St. Petersburgh Place,W2 4JZ
Maddox Street,4650000,Penthouse,2231,4,4,Mayfair,W1S 1NR
New Hereford House,2100000,Flat / Apartment,1074,2,2, Mayfair,W1K 7JB
Carriage House,390000,New development,506,1,1,2  City North Place,N4 3FS
Barkston Gardens,2000000,Flat / Apartment,1997,4,4,Earl's Court,SW5 0ER
Upper Richmond Road West,1225000,House,1633,4,4,Richmond,TW10 5DY
Trinity Road,4250000,House,4774,7,7,Wandsworth,SW18 3SN
1 Eastfields Avenue,985000,Flat / Apartment,1295,3,3,Putney,SW18 1FQ
Charlwood Place,1500000,Flat / Apartment,1275,3,3,Pimlico,SW1V 2LX
Effra Road,950000,House,1357,3,3,Wimbledon,SW19 8PR
Kingholme House,699950,Flat / Apartment,786,2,2, Wimbledon,SW19 4RD
East Hill,725000,Flat / Apartment,1134,2,2,Wandsworth,SW18 2QE
Townshend Court,465000,Flat / Apartment,473,1,1,Shannon Place,NW8 7DP
Mortimer Court,500000,Flat / Apartment,451,1,1,Abbey Road,NW8 9AB
Rutland Gate,5750000,Flat / Apartment,2524,3,3,Knightsbridge,SW7 1PJ
Chevalier House,5450000,Flat / Apartment,1650,2,2,60 Brompton Road,SW3 1BW
Church Road,550000,Flat / Apartment,676,2,2,Richmond,TW10 6LN
High Road,1500000,House,4023,7,7, Coulsdon,CR5 3QN
Eastfields Avenue,775000,Flat / Apartment,820,2,2,Putney,SW18 1GN
Ormonde Court,699950,Penthouse,907,2,2, Putney,SW15 6TR
Pullman Court,249999,Flat / Apartment,458,1,1,Streatham Hill,SW2 4ST
Clifton Road,3300000,House,3448,4,4,Little Venice,W9 1SZ
Pearson Square,1600000,Flat / Apartment,1402,2,2,Fitzrovia,W1T 3BJ
Portland Chambers,1790000,Penthouse,890,2,2, Fitzrovia,W1W 6RP
Bryanston Court,4950000,Flat / Apartment,2817,6,6, Marylebone,W1H 7HB
Green Street,2650000,Flat / Apartment,1027,2,2,Mayfair,W1K 6RG
Whitehall Lane,1000000,House,2000,4,4,Buckhurst Hill,IG9 5JG
Baldwins Hill,1250000,House,2244,4,4,Loughton,IG10 1SD
Bishops Gate,990000,New development,820,2,2,82-88 Fulham High Street,SW6 3LF
Barts Square,1650000,New development,1259,3,3, Smithfield Market,EC1A 9DS
Cubitt Building,765000,New development,618,1,1,10 Gatliff Road,SW1W 8QL
Gainsborough Studios West,1100000,Flat / Apartment,1095,2,2, Shoreditch,N1 5EA
Middleton Road,474950,Flat / Apartment,540,1,1,Hackney,E8 4BS
Pond Street,2450000,Penthouse,1879,3,3,Hampstead,NW3 2PS
Clark House,650000,Flat / Apartment,668,1,1, Hampstead,NW3 7AT
Manor Road South,1349950,House,2986,5,5,Esher,KT10 0QQ
Grove Road,1350000,House,1890,4,4,East Molesey,KT8 9JS
The Granary,375000,Flat / Apartment,961,2,2, Barwell Lane,KT9 2LZ
Milbourne Lane,625000,House,968,3,3,Esher,KT10 9EA
Matham Road,2250000,House,4312,5,5,East Molesey,KT8 0SX
Sandown Road,2350000,House,3861,5,5,Esher,KT10 9TU
Manor Drive,900000,House,1437,3,3,Esher,KT10 0AU
Spruce House,1000000,Penthouse,1539,2,2,4 Woodland Crescent,SE16 6YG
Ziggurat Building,1250000,Flat / Apartment,1085,2,2, Clerkenwell,EC1N 8QX
Swanscombe Road,1100000,House,1112,3,3,Chiswick,W4 2HQ
Hamilton Road,1200000,House,1517,4,4,Chiswick,W4 1AL
Castelnau,4000000,House,5108,5,5,Barnes,SW13 9EX
Chester Close,1250000,House,1952,3,3, Barnes,SW13 0JE
Prince of Wales Mansions,699950,Flat / Apartment,816,2,2,Prince of Wales Drive,SW11 4BG
Primrose Mansions,585000,Flat / Apartment,552,1,1,Prince of Wales Drive,SW11 4EE
Frere Street,800000,House,1148,3,3,Battersea,SW11 2JA
Newlands Close,375000,House,880,3,3, Walton-on-Thames,KT12 4PW
Jessica Road,1450000,House,2131,4,4,Wandsworth,SW18 2QL
Rosehill Road,2000000,House,2518,5,5,Wandsworth,SW18 2NX
Carlton Hill,995000,Flat / Apartment,814,2,2,St John's Wood,NW8 0EN
Albany,3250000,Flat / Apartment,917,2,2,Piccadilly,W1J 0AX
The Green,4495000,House,4063,6,6,Richmond,TW9 1PX
Sandy Lane,1350000,Bungalow,2912,4,4,Northwood,HA6 3ER
Devonshire Street,875000,Flat / Apartment,570,2,2,Marylebone,W1G 6PY
Luxborough Street,750000,Flat / Apartment,633,2,2,Marylebone,W1U 5BS
Pelham Place,7500000,House,2693,4,4,South Kensington,SW7 2NQ
Cottesmore Court,5950000,Penthouse,3002,4,4,Stanford Road,W8 5QL
Holland Park Villas,7600000,New development,2238,3,3, Kensington,W8 7AF
The Rectangular Tower,565000,New development,739,2,2,3 City North Place,N4 2DH
Cloudesley Place,1435000,House,1341,3,3,Islington,N1 0JA
Hertford Road,485000,Flat / Apartment,822,2,2,De Beauvoir,N1 4SN
River Bank,520000,Flat / Apartment,944,2,2,East Molesey,KT8 9BH
Junction House,545000,New development,691,1,1, Battersea,SW11 2NU
Junction House,640000,New development,691,2,2, Battersea,SW11 2NU
Junction House,545000,New development,577,1,1, Battersea,SW11 2NU
Carlton Drive,1850000,Penthouse,2120,3,3,Putney,SW15 2BS
Carlton Drive,1460000,New development,1399,3,3,Putney,SW15 2BS
Rectory Road,2200000,House,2266,5,5,Barnes,SW13 0DU
St. George Wharf,3550000,Flat / Apartment,1862,3,3,Vauxhall,SW8 2BW
South Park Road,1195000,House,1271,3,3,Wimbledon,SW19 8SZ
Durrington Park Road,1995000,House,2620,5,5,Wimbledon,SW20 8NU
Rydon Mews,1585000,House,1712,4,4,Wimbledon,SW19 4RP
Drax Avenue,2695000,House,3924,6,6,Wimbledon,SW20 0EG
Ridgway Place,2990000,House,3067,6,6,Wimbledon,SW19 4EW
Hendham Road,1875000,House,2422,5,5,Wandsworth,SW17 7DH
Eamont Court,650000,Flat / Apartment,623,2,2,Shannon Place,NW8 7DN
Kensington Apartments,559000,Flat / Apartment,513,1,1, Aldgate,E1 6LW
Eaton Place,2000000,Flat / Apartment,1520,2,2,Belgravia,SW1X 8DE
Ormond Avenue,1650000,House,1750,4,4,Richmond,TW10 6TN
Putney Park House,425000,Flat / Apartment,592,1,1, Putney,SW15 5HJ
Bryanston Square,2200000,Flat / Apartment,1163,3,3,Marylebone,W1H 2DH
Shillibeer Place,1750000,House,1224,3,3,Marylebone,W1H 4DR
Alwyne Road,3500000,House,2216,4,4,Islington,N1 2HW
Canonbury Park North,1850000,Flat / Apartment,1623,4,4,Islington,N1 2JU
Fitzjohn's Avenue,2295000,Flat / Apartment,2039,3,3,Hampstead,NW3 5JY
Hampstead Hill Gardens,925000,Flat / Apartment,730,1,1,Hampstead,NW3 2PL
The Madison,1418000,New development,1335,3,3, Canary Wharf,E14 9YT
Rusthall Avenue,1300000,House,1685,4,4,Chiswick,W4 1BL
Melville Road,2400000,House,2425,5,5,Barnes,SW13 9RH
Burnthwaite Road,825000,Flat / Apartment,853,3,3, Fulham,SW6 5BQ
Lena Gardens,635000,Flat / Apartment,634,2,2,Hammersmith,W6 7PZ
Garfield Road,699950,House,883,2,2,Wimbledon,SW19 8RZ
Adela Avenue,765000,House,1500,4,4,New Malden,KT3 6LE
Hersham Road,1250000,House,2502,5,5,Walton-on-Thames,KT12 1LL
Boatman's Court,725000,New development,784,2,2, Putney,SW15 1PP
Arundel Gardens,1350000,Flat / Apartment,628,1,1,Notting Hill,W11 2LB
Bishops Gate,650000,New development,560,1,1,82-88 Fulham High Street,SW6 3LF
Sloane Court East,750000,Flat / Apartment,599,1,1,Chelsea,SW3 4TQ
Matthias Apartments,825000,Penthouse,1226,2,2,158 Northchurch Road,N1 3FL
Montpellier Road,350000,Studio,425,0,0,Ealing,W5 2QS
Ember Lane,925000,House,1270,4,4,Esher,KT10 8ER
Cecil Mansions,765000,Flat / Apartment,1025,4,4,Marius Road,SW17 7QN
28 Narrow Street,2950000,Penthouse,3451,5,5,Limehouse,E14 8DQ
Myddelton Square,999950,Flat / Apartment,792,2,2,Finsbury,EC1R 1YB
Wolseley Gardens,1200000,House,1710,4,4, Chiswick,W4 3LP
Speldhurst Road,1250000,House,1395,4,4,Chiswick,W4 1BU
Eastbury Grove,1495000,House,1889,4,4,Chiswick,W4 2JY
Meredyth Road,1950000,House,2150,4,4,Barnes,SW13 0DS
Television Centre,785000,New development,590,1,1,101 Wood Lane,W12 7FT
Montevetro,2250000,Flat / Apartment,1641,3,3, Battersea,SW11 3YL
Howick Place,6450000,Flat / Apartment,3578,2,2, Westminster,SW1P 1QN
Ridgway,749950,Flat / Apartment,1059,2,2, Wimbledon,SW19 4QS
The Glass Building,1975000,Penthouse,2458,2,2,226 Arlington Road,NW1 7HY
Radnor Walk,3550000,House,1986,5,5,Chelsea,SW3 4BP
Du Cane Court,350000,Flat / Apartment,539,1,1,Balham High Road,SW17 7JA
Pearson Square,4600000,New development,1961,3,3,Fitzrovia,W1T 3BF
The Chase,700000,House,1174,4,4,Loughton,IG10 4RE
Piercing Hill,1350000,House,2312,4,4, Epping,CM16 7JW
Bramah House,1325000,New development,824,2,2,9 Gatliff Road,SW1W 8DP
Upper Park Road,5250000,House,3782,8,8,Belsize Park,NW3 2UP
Ascott Avenue,1000000,House,1549,4,4,Ealing,W5 5QB
Carleton Close,1275000,House,2344,5,5,Esher,KT10 8EE
Palmers Road,1200000,House,1760,4,4,East Sheen,SW14 7NB
Merton Avenue,1200000,House,1615,4,4,Chiswick,W4 1TA
The Orchard,3295000,House,3230,5,5, Chiswick,W4 1JZ
Carlton House,1215000,New development,1091,3,3, Putney,SW15 2BS
Rocks Lane,2275000,House,2652,5,5,Barnes,SW13 0DB
Hampshire Court,400000,Flat / Apartment,601,2,2, Barnes,SW13 0ES
Valiant House,800000,Flat / Apartment,1143,3,3, Battersea,SW11 3LX
Queenstown Road,700000,Flat / Apartment,940,2,2,Battersea,SW8 3QD
City Road,500000,Flat / Apartment,561,1,1,Clerkenwell,EC1V 1AG
Cadogan Lane,3975000,House,1726,3,3,Knightsbridge,SW1X 9DP
Seaton Close,1099000,House,1554,4,4, Putney,SW15 3TJ
Roseland House,539950,Flat / Apartment,627,2,2,Weimar Street,SW15 1SY
Woodhouse Eaves,1050000,House,1677,4,4,Northwood,HA6 3NF
Carlton Mansions,950000,Flat / Apartment,922,3,3, Maida Vale,W9 1NS
Kidderpore Avenue,1200000,Flat / Apartment,1218,3,3,Hampstead,NW3 7SF
Palace Road,2950000,House,4389,6,6,East Molesey,KT8 9DW
Sketch Apartments,380000,Flat / Apartment,550,1,1,42 White Horse Lane,E1 3FY
Andersens Wharf,490000,Flat / Apartment,771,2,2, Canary Wharf,E14 7DX
Lonsdale Road,2750000,House,2612,6,6,Barnes,SW13 9ED
Townshend Court,450000,Flat / Apartment,460,1,1, St John's Wood,NW8 7DP
Weldin Mews,825000,House,1224,3,3,Putney,SW18 1FT
Hotham Road,1695000,House,2205,4,4,Putney,SW15 1QJ
Carlton Drive,425000,Flat / Apartment,548,1,1,Putney,SW15 2BD
Gloucester Avenue,1250000,Flat / Apartment,896,2,2,Primrose Hill,NW1 8JD
The Claves,785000,New development,1263,2,2, Mill Hill,NW7 1NY
Forest Road,465000,Flat / Apartment,518,1,1,Hackney,E8 3BL
Howitt Road,1350000,Flat / Apartment,1023,2,2,Belsize Park,NW3 4LJ
Ashington Road,2500000,House,2458,5,5,Fulham,SW6 3QJ
Winterdown Road,675000,House,915,2,2,Esher,KT10 8LP
Milton Road,945000,House,1112,3,3,East Sheen,SW14 8JP
Dundee Wharf,725000,Flat / Apartment,861,2,2, Limehouse,E14 8AY
Wharfside Point South,325000,Flat / Apartment,469,1,1, Canary Wharf,E14 9EX
Myddelton Square,800000,Flat / Apartment,742,2,2,Finsbury,EC1R 1YE
Cloth Court,595000,New development,476,1,1,Farringdon,EC1A 7LS
Edensor Gardens,425000,Flat / Apartment,740,2,2,Grove Park,W4 2QY
Lillian Road,1250000,House,1380,3,3,Barnes,SW13 9JF
Glebe Road,2100000,House,1959,5,5,Barnes,SW13 0DR
Knowsley Road,875000,House,869,2,2,Battersea,SW11 5BL
Poyntz Road,1095000,House,1238,3,3,Battersea,SW11 5BH
Battersea Church Road,1495000,Penthouse,1680,4,4,Battersea,SW11 3NA
Hove Court,895000,Flat / Apartment,1221,3,3, Wimbledon,SW19 4AG
Eaton Place,3500000,Flat / Apartment,1548,3,3,Belgravia,SW1X 8AD
Chevalier House,4750000,Flat / Apartment,1559,2,2, Knightsbridge,SW3 1BW
Macaulay Court,550000,Flat / Apartment,690,2,2,Macaulay Road,SW4 0QU
The Green,525000,Flat / Apartment,1299,3,3, Buckhurst Hill,IG9 5NQ
Chelsea Waterfront,4035000,New development,2174,4,4, Chelsea,SW10 0QH
Melbourne House,1150000,Flat / Apartment,933,2,2,50 Kensington Place,W8 7PW
Parkhill,2100000,Flat / Apartment,2810,3,3, Esher,KT10 9NP
Greenways,1000000,House,2590,4,4,Esher,KT10 0QD
Trott Street,1300000,House,1457,4,4,Battersea,SW11 3DS
Maunsel Street,2950000,House,2349,5,5,Westminster,SW1P 2QN
South Park Road,995000,House,1184,3,3,Wimbledon,SW19 8SZ
Battersea Reach,700000,Flat / Apartment,814,2,2, Battersea,SW18 1TA
Southborough Road,1675000,House,1749,4,4,South Hackney,E9 7EE
Northumberland Place,2950000,House,2400,3,3,Richmond,TW10 6TS
Felsham Road,635000,Flat / Apartment,774,2,2,Putney,SW15 1BB
Langside Avenue,1995000,House,3256,5,5,Putney,SW15 5QT
Liverpool Road,1895000,House,1868,3,3,Islington,N1 0RE
Victoria Avenue,1495000,House,2566,5,5,Surbiton,KT6 5DL
Arnison Road,2250000,House,3364,5,5,East Molesey,KT8 9JJ
Upper Richmond Road West,1250000,House,2032,6,6,Richmond,TW10 5DY
Duckman Tower,825000,Flat / Apartment,1026,3,3, Canary Wharf,E14 9BL
Clerkenwell Road,875000,Flat / Apartment,767,2,2,Clerkenwell,EC1M 5PY
Meredyth Road,2175000,House,2108,5,5,Barnes,SW13 0DS
Rectory Road,2250000,House,2332,5,5,Barnes,SW13 0DT
Alexandra Avenue,975000,Flat / Apartment,1100,2,2,Battersea,SW11 4DZ
Edna Street,1735000,House,2144,4,4,Battersea,SW11 3DP
Kingholme House,1375000,House,1335,3,3, Wimbledon,SW19 4RD
Addison House,875000,Flat / Apartment,693,2,2,Grove End Road,NW8 9EL
Jade Terrace,1950000,House,1873,5,5, South Hampstead,NW6 4EQ
Edge Apartments,995000,Flat / Apartment,1243,2,2, Twickenham,TW1 4RX
Church Road,3450000,House,3825,5,5, Richmond,TW10 5HG
Stanmore Hill,2500000,House,4222,6,6,Stanmore,HA7 3BY
Bickenhall Mansions,2150000,Flat / Apartment,1672,3,3, Marylebone,W1U 6BT
Goodwood Court,800000,Flat / Apartment,548,2,2, Marylebone,W1W 5DZ
Portland Chambers,1750000,Flat / Apartment,883,2,2, Fitzrovia,W1W 6RP
Monkhams Avenue,1250000,House,1901,4,4,Woodford Green,IG8 0HB
Bowden House,1178000,New development,847,2,2, Battersea,SW11 4FA
Battledean Road,1895000,House,2132,5,5,Highbury,N5 1UZ
Galleria,1200000,Flat / Apartment,1355,2,2,29 Laycock Street,N1 1UR
Independent Place,725000,House,804,1,1,Hackney,E8 2HE
Wildwood Grove,1100000,House,1069,2,2,Hampstead,NW3 7HU
Ternary Place,600000,New development,870,1,1, Ealing,W5 3HJ
Ravenslea Road,1295000,House,1674,4,4,Balham,SW12 8RT
Crooked Billet,600000,House,570,2,2,Wimbledon,SW19 4RQ
Alverstone Avenue,895000,House,900,3,3,Wimbledon,SW19 8BD
Leopold Road,1160000,Penthouse,1112,2,2,Wimbledon,SW19 7JQ
Mortimer Court,450000,Flat / Apartment,377,1,1,Abbey Road,NW8 9AD
Lebanon Park,2750000,House,2999,7,7,Twickenham,TW1 3DG
Stanley Crescent,3450000,Penthouse,1575,2,2,Notting Hill,W11 2NA
Wimpole Mews,2500000,House,1266,3,3,Marylebone,W1G 8PE
Cadogan Gardens,2150000,Flat / Apartment,1064,2,2,Sloane Square,SW3 2RE
Park Mansions,1995000,Flat / Apartment,1053,2,2,Knightsbridge,SW1X 7QS
Empire House,2600000,Flat / Apartment,1722,3,3,Thurloe Place,SW7 2RU
Hirst Court,795000,Flat / Apartment,691,1,1,20 Gatliff Road,SW1W 8QD
Imperial Court,1850000,Flat / Apartment,1480,3,3,4-10 Lexham Gardens,W8 5JH
Campden Hill Gate,3500000,Flat / Apartment,1804,4,4,Duchess Of Bedford's Walk,W8 7QJ
Vicarage Court,450000,Studio,410,0,0,Vicarage Gate,W8 4HF
Cornwall Mansions,2895000,Flat / Apartment,1850,3,3,33 Kensington Court,W8 5BG
Campden House,1250000,Flat / Apartment,1317,3,3,29 Sheffield Terrace,W8 7ND
Melbury Court,4250000,Flat / Apartment,2713,6,6,Kensington High Street,W8 6NH
Thackeray House,1175000,Flat / Apartment,793,2,2,Thackeray Street,W8 5HA
Winchester Court,1550000,Flat / Apartment,923,2,2,Vicarage Gate,W8 4AF
Vincent Close,1550000,House,2602,4,4,Esher,KT10 8AW
Summer Road,1325000,House,2410,5,5,Thames Ditton,KT7 0QP
Sheen Gate Gardens,1450000,House,1899,4,4,East Sheen,SW14 7PD
Drayton Gardens,4750000,House,3104,6,6,Chelsea,SW10 9RY
Kings Court Mansions,799950,Flat / Apartment,890,2,2,721 Fulham Road,SW6 5PB
Burns Road,850000,House,1167,3,3,Battersea,SW11 5GX
Candlemakers Apartments,560000,Flat / Apartment,779,1,1, Battersea,SW11 3RS
Tyneham Road,910000,House,960,3,3,Battersea,SW11 5XP
Emerson Court,399950,Flat / Apartment,621,1,1, Wimbledon,SW19 7PQ
Wimbledon Hill Road,465000,Flat / Apartment,592,1,1,Wimbledon,SW19 7QU
Lammas Road,725000,House,1344,5,5,Richmond,TW10 7YD
Kenilworth Court,1295000,Flat / Apartment,1702,4,4, Putney,SW15 1HA
Oakhill Road,825000,Flat / Apartment,947,2,2,Putney,SW15 2FJ
Gloucester Avenue,1195000,Flat / Apartment,879,2,2,Primrose Hill,NW1 8JA
Regents Park Road,1250000,Flat / Apartment,1061,2,2,Regent's Park,NW1 7SY
St Marys Avenue,1225000,House,2289,5,5,Northwood,HA6 3AY
Saxon Court,585000,Flat / Apartment,1032,2,2, Northwood,HA6 3FG
Paramount Court,985000,Flat / Apartment,677,2,2, Bloomsbury,WC1E 6JP
Grosvenor Avenue,530000,Flat / Apartment,482,1,1,Highbury,N5 2NR
Alwyne Road,4200000,House,2968,3,3,Islington,N1 2HN
Lawford Road,1375000,House,1340,3,3,Islington,N1 5BJ
Amhurst Road,575000,Flat / Apartment,707,2,2,Hackney,E8 2AG
Highfields Grove,2950000,House,2740,4,4,Highgate,N6 6HN
Basuto Road,1950000,House,1795,3,3, Parsons Green,SW6 4BL
Napier Avenue,3250000,House,3156,5,5,Fulham,SW6 3PT
Ember Lane,1250000,House,1980,4,4,Esher,KT10 8EQ
Sandown House,975000,Penthouse,1634,3,3, Esher,KT10 9SL
Pine Walk,1100000,House,1716,4,4,Surbiton,KT5 8NJ
Wards Wharf Approach,300000,Flat / Apartment,517,1,1,Newham,E16 2ER
Junction House,510000,New development,577,1,1, Battersea,SW11 2NU
Foskett Road,350000,Flat / Apartment,302,1,1,Fulham,SW6 3LY
Sinclair Gardens,875000,Flat / Apartment,981,2,2,Brook Green,W14 0AU
Kingston Vale,1095000,House,2642,3,3,Kingston,SW15 3RN
Eversley Park,3350000,House,3256,5,5,Wimbledon,SW19 4UU
Green Lane,1275000,House,2711,5,5,Oxhey,WD19 4NJ
Wellington Square,3950000,House,2530,6,6,Chelsea,SW3 4NW
The Gatehouse,475000,Flat / Apartment,650,2,2,1 Tiltman Place,N7 7EE
Tollington Way,575000,New development,840,2,2, London,N7 6RG
The Stack,599950,New development,930,3,3,Homerton,E9 6HP
Marcon Place,585000,Flat / Apartment,881,2,2,Hackney,E8 1LP
Lyndale Avenue,1750000,House,2223,4,4,Childs Hill,NW2 2QA
The Butts,2950000,House,4034,6,6,Brentford,TW8 8BJ
St. Dunstans Avenue,950000,House,1258,4,4,Acton,W3 6QH
South Bank Tower,910000,Flat / Apartment,683,1,1, South Bank,SE1 9EY
Criffel Avenue,1849950,House,2372,5,5,Streatham,SW2 4AY
Ranelagh Mansions,700000,Flat / Apartment,758,2,2,New Kings Road,SW6 4RH
South Park Road,425000,Flat / Apartment,549,1,1,Wimbledon,SW19 8TA
Rydens Road,1395000,House,3178,4,4,Walton-On-Thames,KT12 3AA
Grove End Road,3000000,House,2432,4,4,St John's Wood,NW8 9LY
Richmond Hill,2975000,House,3352,6,6,Richmond,TW10 6QX
Deodar Road,775000,Flat / Apartment,990,2,2,Putney,SW15 2NJ
Rectory Grove,4950000,House,4482,7,7,Clapham,SW4 0DZ
Bishops Gate,649000,New development,560,1,1,82-88 Fulham High Street,SW6 3LF
Stonefield Street,499950,Flat / Apartment,386,1,1,Islington,N1 0HW
Amwell Court Estate,399950,Flat / Apartment,806,3,3, Finsbury Park,N4 2NY
Dalston Lane,1085000,House,1705,3,3,Hackney,E8 1NG
Bishops Road,1595000,House,1679,4,4,Fulham,SW6 7AS
Winterdown Road,850000,House,1336,3,3,Esher,KT10 8LP
Landmark Place At Tower Bridge,1799995,New development,1236,2,2,Water Lane,EC3R 6EA
